"","player_name","poss","mp","raptor_box_offense","raptor_box_defense","raptor_box_total","raptor_onoff_offense","raptor_onoff_defense","raptor_onoff_total","raptor_offense","raptor_defense","raptor_total","war_total","war_reg_season","predator_offense","predator_defense","predator_total","pace_impact","playoff"
"1","Alex Abrines",-0.507030269542137,-0.555921009767097,-0.542091662398404,0.412122100010384,-0.0719336261190714,-0.69734262655066,0.741920456736444,0.0464258446196563,-0.652820883938369,0.565531792550878,-0.053124856141006,-0.47479755808435,-0.47479755808435,-0.960602706536003,0.656128056688522,-0.204206141846097,-0.348830034818107,"0"
"2","Quincy Acy",-1.08689431422033,-1.10044611155342,-1.19878895250339,0.950449301731141,-0.132021745291536,-0.272582710538917,1.49212298146543,0.858925231694763,-1.01609978234981,1.28194705146938,0.190455468438787,-0.490253461435981,-0.490253461435981,-1.32817687079651,0.927863603053443,-0.268870915603459,0.864707747015422,"0"
"3","Jaylen Adams",-0.696456386035413,-0.743284485650564,-0.40278623852197,-0.991361751022536,-0.951773873960065,0.140461794794224,0.123628418971333,0.181637549386285,-0.261045772114755,-0.740335757797354,-0.678398928522788,-0.802980819648294,-0.802980819648294,-0.238384379499177,-1.01232529673613,-0.816804611037649,-0.164070745832972,"0"
"4","Steven Adams",2.12929467284594,1.88097519844225,0.0389926977285304,0.644612043474503,0.471968150858613,0.830605518880298,0.214907548718844,0.713086676138611,0.303460483769982,0.57522427428043,0.594566695809754,1.77531108339422,1.77531108339422,0.285444558910291,1.10988955649798,0.91137073019203,0.559807995596048,"1"
"5","Bam Adebayo",1.04892859559835,0.995682774892867,-0.213774878417627,0.779392351755197,0.398698743604671,0.0493507972216024,0.397767133030608,0.311642091625873,-0.142669507229457,0.749176803506671,0.413755398102116,0.70342473002148,0.70342473002148,-0.274894144892324,0.865841114485067,0.383629227751312,-0.51576222334008,"0"
"6","Deng Adel",-1.02143513634957,-1.01730356913013,-1.29824410176765,0.17149063798629,-0.736845379471092,-0.586694746680068,0.293490121726278,-0.192243713951798,-1.1933028534789,0.257269621561381,-0.625072461681268,-0.64544536578727,-0.64544536578727,-1.42609460990849,-0.386514364560881,-1.19018553453686,-1.36140440845007,"0"
"7","DeVaughn Akoon-Purcell",-1.21955052424162,-1.21871930570486,-0.468033377419351,-0.276752685627121,-0.500042339999602,0.512539231763653,0.421656969898414,0.642184482739253,-0.226135164344484,-0.10954097583947,-0.2260857620776,-0.540933420502576,-0.540933420502576,-0.0232966929114645,0.404564381299117,0.248425483666056,-1.0339846959425,"0"
"8","LaMarcus Aldridge",1.94160641063242,1.90205358947914,0.438778735738174,0.611421121685621,0.712457112334557,0.458112283537374,-0.223347499887701,0.154181451988544,0.475321174239741,0.415404496783159,0.601114511500571,1.76940881719445,1.76940881719445,0.559093761926353,0.457784062689058,0.666265406652322,-1.44581045685548,"1"
"9","Rawle Alkins",-1.10021786369845,-1.10395917672624,-0.911156585085035,-0.335594300882739,-0.832806417218113,0.451015700239238,-0.360858925930647,0.0531955559361972,-0.534589315290521,-0.374890166741326,-0.613300793920544,-0.603914170773667,-0.603914170773667,-1.17608014549559,-0.758161662347836,-1.26799762893422,-0.127703191765505,"0"
"10","Grayson Allen",-0.727158478311082,-0.757336746341824,-0.801783080932686,-0.998510294649548,-1.21967014082222,-0.499981292838798,-1.0258949924065,-1.05628920189466,-0.786736803252443,-1.15960285043841,-1.31590829635247,-1.10895507598511,-1.10895507598511,-0.788838532409495,-1.08480635789203,-1.22619151004816,0.894828694656008,"1"
"11","Jarrett Allen",1.34610167743643,1.20997975043458,-0.288392711694968,-0.385631257920473,-0.457033073251901,0.495281384971444,-0.62977937294778,-0.104899306886653,-0.0596486200080694,-0.524412170604319,-0.396562966587599,-1.14673135758588,-1.14673135758588,-0.0947833042118907,-0.289415897868395,-0.251038147267656,-0.0221112404474228,"1"
"12","Kadeem Allen",-0.743957736348712,-0.757336746341824,0.725710601340724,-0.0368154134588223,0.452770792238341,0.62636312804687,-0.283133111746029,0.226364890320338,0.788970074085546,-0.110460011838981,0.45382663699021,-0.250452070546101,-0.250452070546101,0.653012622913265,-0.164550554738317,0.32232767597645,-0.891411202655179,"0"
"13","Al-Farouq Aminu",1.55174776720742,1.43950000839183,0.176549772969719,0.407282657254568,0.398315711510298,0.871308763975164,0.0443394466575678,0.621367222007063,0.417238839921922,0.338836470373955,0.510113092825133,1.20287787839823,1.20287787839823,0.461697974950888,0.49864501325679,0.628829441858242,-0.666279850916168,"1"
"14","Justin Anderson",-0.637369340523749,-0.702298725301056,-0.335829799467873,0.0442584635145536,-0.190678297032597,-0.190878000197315,0.310828263748404,0.0880686124283519,-0.315140609559413,0.152799716148558,-0.107377478947108,-0.517326243778406,-0.517326243778406,-0.113806476841745,-0.160621038250958,-0.179586540952768,0.848041347167893,"0"
"15","Kyle Anderson",0.248357057391296,0.255597045153171,-0.206924097576579,0.658066003877307,0.319218148161907,-0.0751084545564556,0.362108586545655,0.202374550552889,-0.180984620527508,0.643618768044939,0.316294385721836,0.14670935206578,0.14670935206578,-0.433527719795117,0.946647603043505,0.331948178827677,-0.796169146783186,"0"
"16","Ryan Anderson",-0.917743164324194,-0.918937744291315,-0.284576603907621,-0.393429437277562,-0.459916933545417,-0.774843928543511,0.123678416267768,-0.438493167634587,-0.471441196390924,-0.260661241628279,-0.493295702858991,-0.650348927107027,-0.650348927107027,-0.283708880754653,-0.560712457114835,-0.552198012645751,-0.490984084500631,"0"
